ts_code,peer_group,hfsf_latest_ann_date,hfsf_latest_report_period,hfsf_roe,hfsf_roic,hfsf_gross_margin_pct,hfsf_profit_dedt,hfsf_fcff,hfsf_debt_to_assets_pct,hfsf_revenue,hfsf_net_profit,hfsf_ocf,hfsf_free_cashflow,hfsf_capex,hfsf_total_assets,hfsf_total_liab,hfsf_close,hfsf_pe_ttm,hfsf_dividend_yield_pct,hfsf_total_mv_10k,hfsf_dividend_yield,hfsf_pe_inverse,hfsf_market_cap,hfsf_fcf_yield,hfsf_profit_dedt_ratio,hfsf_ocf_np_ratio,hfsf_fcf_to_assets,hfsf_pe_ttm_5y_monthly_avg,hfsf_pe_ttm_vs_5y_avg,hfsf_gross_margin_3y_std,hfsf_revenue_3y_cagr,hfsf_fcf_3y_cagr,hfsf_pe_ttm_peer_avg,hfsf_gross_margin_peer_avg,hfsf_fcf_to_assets_peer_avg,hfsf_pe_ttm_vs_peer,hfsf_gross_margin_vs_peer,hfsf_score,hfsf_signal
688276.SH,疫苗,20251031,20250930,-3.8714,-4.7449,75.4036,-179726706.79,-174711891.46,24.0413,474442765.98,-158250519.93,-68805373.58,-142557209.82999998,73751836.25,5210196644.05,1252597411.5,17.91,,0.9436,740860.758,0.009436,,7408607580.0,-0.019242105657592407,1.1357100556099258,0.43478766205908914,-0.02736119566481221,88.26560961538462,,1.5993438513965614,0.004461990578951136,,220.15359999999998,80.99772,-0.0007810245246404841,,-5.594120000000004,-0.4241119563377391,
301047.SZ,其他生物制品,20251028,20250930,1.9942,1.9133,73.9475,62253077.75,,3.6658,511445016.65,110179472.73,82991441.81,29732595.940000005,53258845.87,5477775495.59,200806504.98,70.57,64.6418,7.0852,858390.4883,0.070852,0.015469866247536422,8583904883.0,0.0034637611139988218,0.5650152084368211,0.7532386909617407,0.005427859532384426,44.97654821428572,1.437233459802682,7.806956899266186,-0.08660800123577372,,41.44323333333333,83.441225,0.013730993109186226,1.5597672961488689,-9.493724999999998,-0.20768719174339187,
605599.SH,钟表珠宝,20251029,20250930,15.878,9.465,7.6612,585127345.23,,51.6769,20471910139.77,646755626.25,1757757152.73,1768523338.0059,25355887.43,8667464010.32,4479078852.32,22.7,21.7504,3.1718,1765555.606,0.031718,0.04597616595556864,17655556060.0,0.10016809054304573,0.9047116429781503,2.7178072851438144,0.2040416130831568,17.460129090909092,1.2457181666156585,1.105791613452079,0.2481300328649425,,35.9249,23.14655,0.06908067871214534,0.6054407945464009,-15.48535,0.44309225835510585,top_20pct
301665.SZ,农药,20251027,20250930,11.2444,10.0721,28.2645,362395004.09,-70489872.8242,36.2401,3890177765.6,367474484.24,409854967.14,-70489872.8242,556933463.8,6315899424.76,2288886316.48,26.58,25.6233,2.2573,1196100.0,0.022573,0.039026979350825226,11961000000.0,-0.005893309323986289,0.986177325588999,1.1153290492744008,-0.011160702234722266,35.6771,0.7182001900378674,2.447479722081473,-0.05992082469921767,,33.711866666666666,23.232242857142857,-0.0024871594044383843,0.760067671522194,5.032257142857144,0.43955707290187207,top_20pct
688306.SH,其他自动化设备,20251025,20250930,-3.0475,-1.54,20.287,-59119891.79,,65.1742,1508335126.07,-54337692.05,8285375.42,-229602197.97,39426525.06,5195592262.72,3386185439.57,9.01,907.5039,,1106682.8028,,0.0011019236391160412,11066828028.0,-0.0207468840564873,1.0880088859055619,-0.15247933998330354,-0.04419172759522867,1388.4434111111111,0.65361245027175,1.7193305539269255,0.04461616648391442,,237.37032,37.583780000000004,0.0002853780590887228,3.823156576609915,-17.296780000000005,-0.857095489977462,
688110.SH,数字芯片设计,20251029,20250930,-4.6261,-5.1468,21.9227,-166699372.26,46838722.61,5.2125,572541521.97,-146184251.6,-167804097.59,46838722.61,21397946.72,3436654883.5,179134602.43,115.83,,,5122578.9469,,,51225789469.0,0.0009143582382140758,1.140337419629407,1.1478944944709764,0.013629160971292508,119.88796500000001,,15.400019720101783,-0.13298532453181322,,154.39785,34.59380625,-0.029586036152655763,,-12.671106250000001,-0.5240016532814433,
688798.SH,模拟芯片设计,20251028,20250930,6.8141,5.981,35.725,193318863.07,-64382250.87,20.4482,2176427339.52,275727542.89,332317780.81,191062282.14000002,141255498.67,5241541857.91,1071799437.21,67.2,49.4901,0.4901,1566624.4339,0.004901,0.020206061414303065,15666244339.0,0.012195793580492298,0.7011227860798931,1.2052396990407896,0.03645154180189715,92.97595681818183,0.5322892250173865,6.33455479877368,0.05956172118021441,,259.3995428571429,40.44138888888889,-0.0031098797724062846,0.19078715195444776,-4.716388888888886,0.2169319433827516,
301219.SZ,能源金属,20251028,20250930,8.2737,7.6256,25.0073,725306746.97,73730741.1743,23.5561,5751865530.03,751149149.48,764572100.73,378856131.13,385715969.6,12233124220.71,2881652408.36,61.69,22.2011,2.4198,1818110.2958,0.024198,0.045042813193940844,18181102958.0,0.02083790691935424,0.9655961768340017,1.0178698881031714,0.03096969541833129,33.990520930232556,0.653155626698661,10.301425384819327,0.07848740888081651,,74.69322500000001,29.56264,-0.02714246204312696,0.29723043823586404,-4.5553399999999975,0.31404280000384044,
301177.SZ,钟表珠宝,20251030,20250930,1.6338,1.5656,66.4019,5120891.88,-708339813.1493,18.9139,1156382612.03,102538200.1,-188237306.94,-231355379.94,43118073.0,7681674959.79,1452901069.37,27.98,82.7266,1.7858,1119968.1909,0.017858,0.012088010386018522,11199681909.0,-0.02065731703987808,0.049941308458758486,-1.8357773664490138,-0.03011782992004191,186.23979583333335,0.4441940006959218,1.7989595808874277,-0.24747935255089226,-0.22856641373569164,35.9249,23.14655,0.06908067871214534,2.3027649346275147,43.25534999999999,0.38052636069043283,
688776.SH,军工电子Ⅲ,20251031,20250930,-2.1833,-2.5966,22.5961,-46118761.29,-201732219.47,24.7895,253713207.88,-39999963.8,-21915424.17,-57798684.14,35883259.97,2413793320.84,598367373.06,85.91,,,931121.9526,,,9311219526.0,-0.006207423633242347,1.1529700756879186,0.5478861000869206,-0.023945166987157814,117.57020833333333,,8.70231269431676,-0.018885101165714513,,127.37374545454546,42.20942,-0.02719309978455779,,-19.61332,-0.5423306225189319,
688486.SH,数字芯片设计,20251030,20250930,8.4645,8.4223,55.9357,103396603.55,-15249578.7686,4.7528,389202888.77,124508041.43,70365914.25,-678905.299999997,71044819.55,1585423504.01,75352426.99,58.7,45.5243,0.9071,782633.4933,0.009071000000000001,0.021966290530551817,7826334933.0,-8.674626192362026e-05,0.8304411696021327,0.5651515632390749,-0.0004282170021340335,71.42802368421053,0.6373450874304861,4.686593459930859,0.14692950764692458,0.3590944856070317,154.39785,34.59380625,-0.029586036152655763,0.29485060834720167,21.341893749999997,0.6215326559364376,top_20pct
301127.SZ,水务及水治理,20251030,20250930,4.2001,2.7182,34.347,133856612.09,-2585184220.8558,61.7873,1161927072.35,137590592.67,-249517318.78,-2283107336.59,2033590017.81,9169854720.42,5665803071.44,16.08,38.207,0.597,1083906.2902,0.00597,0.026173214332452167,10839062902.0,-0.21063696716518973,0.9728616578536322,-1.8134765897727274,-0.24897966284087744,27.167163461538465,1.4063669199064905,4.169283429182664,0.2117509570236622,,23.743025000000003,33.445325,-0.07060023480344767,1.6091883826934434,0.9016750000000044,-0.5425750789687892,
